COUNTRY,CAT,ACT,Activity,UNIT,VAR,Variable,SRC,Source,TIME,Value
USA,FLFW,HOUSEHOLDS,Households,MILLIONKG,FWVAR56,Food Loss,SOURCE14,"Buzby & al., 2011",2008,37683.54729
USA,FLFW,HOUSEHOLDS,Households,MILLIONKG,FWVAR56,Food Loss,SOURCE16,"Buzby & al., 2014",2010,40777.95447
USA,FLFW,HOUSEHOLDS,Households,MILLIONKG,FWVAR64,Added fats and oils,SOURCE14,"Buzby & al., 2011",2008,1653.344205
USA,FLFW,HOUSEHOLDS,Households,MILLIONKG,FWVAR64,Added fats and oils,SOURCE16,"Buzby & al., 2014",2010,2041.165685
USA,FLFW,HOUSEHOLDS,Households,MILLIONKG,FWVAR66,Added sugar & sweeteners,SOURCE14,"Buzby & al., 2011",2008,6645.697354
USA,FLFW,HOUSEHOLDS,Households,MILLIONKG,FWVAR66,Added sugar & sweeteners,SOURCE16,"Buzby & al., 2014",2010,5579.186206
USA,FLFW,HOUSEHOLDS,Households,MILLIONKG,FWVAR114,Dairy products,SOURCE14,"Buzby & al., 2011",2008,6361.633052
USA,FLFW,HOUSEHOLDS,Households,MILLIONKG,FWVAR114,Dairy products,SOURCE16,"Buzby & al., 2014",2010,7348.196467
USA,FLFW,HOUSEHOLDS,Households,MILLIONKG,FWVAR81,Eggs,SOURCE14,"Buzby & al., 2011",2008,600.1027115
USA,FLFW,HOUSEHOLDS,Households,MILLIONKG,FWVAR81,Eggs,SOURCE16,"Buzby & al., 2014",2010,952.5439864
USA,FLFW,HOUSEHOLDS,Households,MILLIONKG,FWVAR87,Fish & seafodd,SOURCE14,"Buzby & al., 2011",2008,541.1357028
USA,FLFW,HOUSEHOLDS,Households,MILLIONKG,FWVAR87,Fish & seafodd,SOURCE16,"Buzby & al., 2014",2010,680.3885617
USA,FLFW,HOUSEHOLDS,Households,MILLIONKG,FWVAR92,Fresh & processed fruit,SOURCE14,"Buzby & al., 2011",2008,4100.475065
USA,FLFW,HOUSEHOLDS,Households,MILLIONKG,FWVAR92,Fresh & processed fruit,SOURCE16,"Buzby & al., 2014",2010,5624.545444
USA,FLFW,HOUSEHOLDS,Households,MILLIONKG,FWVAR94,Fresh & processed veggies,SOURCE14,"Buzby & al., 2011",2008,7476.563109
USA,FLFW,HOUSEHOLDS,Households,MILLIONKG,FWVAR94,Fresh & processed veggies,SOURCE16,"Buzby & al., 2014",2010,8210.021979
USA,FLFW,HOUSEHOLDS,Households,MILLIONKG,FWVAR100,Grain products,SOURCE14,"Buzby & al., 2011",2008,4770.431003
USA,FLFW,HOUSEHOLDS,Households,MILLIONKG,FWVAR100,Grain products,SOURCE16,"Buzby & al., 2014",2010,5125.593832
USA,FLFW,HOUSEHOLDS,Households,MILLIONKG,FWVAR104,Meat,SOURCE14,"Buzby & al., 2011",2008,4993.598451
USA,FLFW,HOUSEHOLDS,Households,MILLIONKG,FWVAR104,Meat,SOURCE16,"Buzby & al., 2014",2010,3265.865096
USA,FLFW,HOUSEHOLDS,Households,MILLIONKG,FWVAR115,Poultry,SOURCE14,"Buzby & al., 2011",2008,3704.488923
USA,FLFW,HOUSEHOLDS,Households,MILLIONKG,FWVAR115,Poultry,SOURCE16,"Buzby & al., 2014",2010,1769.010261
USA,FLFW,HOUSEHOLDS,Households,MILLIONKG,FWVAR128,Tree nuts & peanuts,SOURCE14,"Buzby & al., 2011",2008,135.1705276
USA,FLFW,HOUSEHOLDS,Households,MILLIONKG,FWVAR128,Tree nuts & peanuts,SOURCE16,"Buzby & al., 2014",2010,136.0777124
